ID, company_id, sub_cat_id, cat_id, catName, style_id, StyleName, prod_id, kind, color, Description, weight, size, ageName, Qty, Qty_sold, price_MGL, unitprice_Cnd, TransportCostUnit, price_cost, sellsPrice, barCode, withHoldtax, barCodePrint, ognoo, print_bar, workField, ognoo_sold
147,102,,"0102","C-neck","102-1U-010207","C-neck-cable in shoulder","104-1120-130-74-3","cashmere","gray","C-neck",0,"M",,1,1,,144.22,,,317.00,"102-1U-010207-03M","unisex","sold",,"102010207",,"102-1U-010207-03M","121U01020703M",2023-10-12 0:00:00
148,102,,"0102","C-neck","102-1U-010205","C-neck-simple","104-1121-222-3975-4","cashmere","gray","C-neck",0,"L",,1,1,,109.66,,,229.99,"102-1U-010205-03L","unisex","sold",,"102010205",,"102-1U-010205-03L","121U01020503L",2023-7-29 0:00:00
149,102,,"0102","C-neck","102-1U-010205","C-neck-simple","104-1121-222-3975-4","Cashmere","gray","C-neck",0,"M",,1,1,,109.66,,,200.00,"102-1U-010205-03M","unisex","sold Auna",,"102010205",,"102-1U-010205-03M","121U01020503M",2022-12-1 0:00:00
150,102,,"0102","C-neck","102-1U-010206","C-neck-camouflage","104-1122-060-3950/3975/3700-3","cashmere","different Colors","C-neck",0,"M",,1,,,200.88,,,349.99,"102-1U-010206-11M","unisex",,,"102010206",,"102-1U-010206-11M","121U01020611M",
151,102,,"0102","C-neck","102-1U-010206","C-neck-camouflage","104-1122-060-3950/3975/3700-4","cashmere","different Colors","C-neck",0,"L",,1,,,200.88,,,349.99,"102-1U-010206-11L","unisex",,,"102010206",,"102-1U-010206-11L","121U01020611L",
152,102,,"0103","T-neck","102-1U-010304","T-neck-different color","105-0119-045-520/522/1402-4","cashmere","different Colors","T-neck",0,"L",,1,,,196.86,,,433.00,"102-1U-010304-11L","unisex",,,"102010304",,"102-1U-010304-11L","121U01030411L",
153,102,,"0103","T-neck","102-1W-010307","T-neck-sleeve pattern","105-0121-001-02/1096/6900-4","cashmere","bej","T-neck",0,"L",,1,,,124.13,,,273.00,"102-1W-010307-02L","female","hos omdtoi",,"102010307",,"102-1W-010307-02L","121W01030702L",
154,102,,"0102","C-neck","102-3U-010209","C-neck-cable","105-0122-017-755/81-3","yak","brown","T-neck",0,"S",,1,,,237.05,,,522.00,"102-3U-010209-05S","unisex","sarlag une todruul",,"102010209",,"102-3U-010209-05S","123U01020905S",
155,102,,"0103","T-neck","102-1U-010305","T-neck-silk","105-0221-021-3170-3","Silk-cashmere","green","T-neck",0,"M",,1,,,379.30,,,429.99,"102-1U-010305-09M","unisex","printed",,"102010305",,"102-1U-010305-09M","121U01030509M",
156,102,,"0103","T-neck","102-1W-010303","T-neck-silk-sleeveless","105-0222-039-1507-2","cashmere","gray","T-neck",0,"S",,1,,,116.49,,,256.00,"102-1W-010303-03S","female",,,"102010303",,"102-1W-010303-03S","121W01030303S",
157,102,,"0106","Hi-neck","102-1W-010602","Hi-neck-2 different sided with buttons","106-0121-027-5025-2","cashmere","pink","Hi-neck",0,"S",,1,,,220.97,,,359.99,"102-1W-010602-15S","female","printed",,"102010602",,"102-1W-010602-15S","121W01060215S",
