company_id,cat_id,catName,style_id,StyleName,prod_id,kind,color,Description,weight,size,Qty,Qty_sold,price_MGL,unitprice_Cnd,TransportCostUnit,sellsPrice,barCode,sex,sellDesc,barCodePrint,print_bar,workField,extra
102,0401,Hat,102-1W-040105,Hat-bennie-emjeertei,110-0120-017,cashmere,Red,Hat,40,F,1,,54810,21.1539946,3.66944655,89.99,102-1W-040105-19F,female,hos,102040105,102-1W-040105-19F,121W04010519F,
102,0401,Hat,102-1W-040101,Hat- cable binne,110-0120-022,cashmere,green,Hat,40,F,2,,52110,20.1119259,3.66944655,89.99,102-1W-040101-09F,female,1 deer code hiisen +1,102040101,102-1W-040101-09F,121W04010109F,
102,0401,Hat,102-1U-040114,Hat-bennie nugaldag,110-0120-023,cashmere,gray,Hat,50,F,1,,53010,20.45928213,4.586808188,89.99,102-1U-040114-03F,unisex,1bn,102040114,102-1U-040114-03F,121U04011403F,
102,0401,Hat,102-1W-040104,Hat-bennie-pom,110-0120-026,cashmere,gray,Hat,50,F,1,,52110,20.1119259,4.586808188,89.99,102-1W-040104-03F,female,hos,102040104,102-1W-040104-03F,121W04010403F,
102,0401,Hat,102-1W-040112,Hat-bennie cable straight,110-0120-027,cashmere,bej,Hat,65,F,9,,69210,26.71169433,5.962850644,99.99,102-1W-040112-02F,female,7 bn+1+1,102040112,102-1W-040112-02F,121W04011202F,
102,0401,Hat,102-1W-040104,Hat-bennie-pom,110-0120-090,cashmere,blue-dark,Hat,50,F,2,,51210,19.76456966,4.586808188,89.99,102-1W-040104-16F,female,1 burtgev + 1 gray,102040104,102-1W-040104-16F,121W04010416F,
102,0401,Hat,102-1W-040101,Hat- cable binne,110-0120-105,cashmere,gray,Hat,85,F,1,,79110,30.53261289,7.79757392,129.99,102-1W-040101-03F,female,saaitai hos,102040101,102-1W-040101-03F,121W04010103F,
102,0401,Hat,102-1U-040117,Hat-thick chiktei,110-0121-001,cashmere,blue-dark,Hat,80,F,1,,106110,40.95329988,7.338893101,179.99,102-1U-040117-16F,unisex,1bn,102040117,102-1U-040117-16F,121U04011716F,
102,0401,Hat,102-1W-040112,Hat-bennie cable straight,110-0121-005,cashmere,Red,Hat,50,F,1,,71010,27.40640679,4.586808188,119.99,102-1W-040112-19F,female,1bn,102040112,102-1W-040112-19F,121W04011219F,
102,0401,Hat,102-1U-040114,Hat-bennie nugaldag,110-0121-009,cashmere,bej,Hat,60,F,2,,79110,30.53261289,5.504169826,129.99,102-1U-040114-02F,unisex,1bn+1,102040114,102-1U-040114-02F,121U04011402F,
