company_id,cat_id,catName,kind,color,StyleName,Description,weight,size,sex,price_MGL,unitprice_Cnd,sellsPrice,Qty
101,0402,Cloves,Cashmere,maroon,Cloves-fingerless long,,0,F,female,0,10,$38.99,2
101,0402,Cloves,Cashmere,purple light,Cloves-fingerless long,,0,F,female,0,10,$38.99,5
101,0601,Textile,Cashmere,bej,Textile-gold,,0,F,unisex,0,26,$99.99,5
101,0601,Textile,Cashmere,brown,Textile-gold,,0,F,unisex,0,26,$99.99,5
101,0601,Textile,Cashmere,black,Textile-gold,,0,F,unisex,0,26,$99.99,10
102,0108,Top,Cashmere,blue,Top-Tneck,,0,M,female,0,0,$0.00,0
102,0108,Top,Cashmere,blue,Top-Tneck,Moli,150,M,female,0,69,$169.00,1
102,0102,C-neck,Cashmere,Black-gray,C-neck-simple,Moli,235,M,unisex,0,124,$279.00,3
102,0102,C-neck,Cashmere,Black-gray,C-neck-simple,Moli,235,L,unisex,0,124,$279.00,3
102,0102,C-neck,Cashmere,Black-gray,C-neck-simple,Moli,235,S,unisex,0,124,$279.00,2
102,0102,C-neck,Cashmere,black,C-neck-simple,Moli,270,L,unisex,0,124,$279.00,3
102,0102,C-neck,Cashmere,black,C-neck-simple,Moli,270,M,unisex,0,124,$279.00,1
102,0102,C-neck,Cashmere,black,C-neck-simple,Moli,270,S,unisex,0,124,$279.00,1
102,0102,C-neck,Cashmere,blue,C-neck-simple,Moli,270,L,unisex,0,124,$279.00,1
102,0102,C-neck,Cashmere,brown,C-neck-Dolman Sleeve,Moli,235,S,female,0,108,$239.00,1
102,0102,C-neck,Cashmere,brown,C-neck-Dolman Sleeve,Moli,235,M,female,0,108,$239.00,2
102,0102,C-neck,Cashmere,brown,C-neck-Dolman Sleeve,Moli,235,L,female,0,108,$239.00,1
102,0102,C-neck,Cashmere,gray,C-neck-Dolman Sleeve,Moli,235,L,female,0,108,$239.00,1
102,0102,C-neck,Cashmere,gray,C-neck-Dolman Sleeve,Moli,235,M,female,0,108,$239.00,1
102,0102,C-neck,Cashmere,gray,C-neck-Dolman Sleeve,Moli,235,S,female,0,108,$239.00,1
102,0102,C-neck,Cashmere,beige,C-neck-Dolman Sleeve,Moli,1,S,female,0,108,$239.00,1
102,0102,C-neck,Cashmere,beige,C-neck-Dolman Sleeve,Moli,235,M,female,0,108,$239.00,1
102,0102,C-neck,Cashmere,beige,C-neck-Dolman Sleeve,Moli,235,L,female,0,108,$239.00,1
102,0109,Hoodie,Cashmere,beige,Cardigan with Hoodie,Moli,350,M,female,0,180.01,$359.00,2
102,0109,Hoodie,Cashmere,white,Cardigan with Hoodie,Moli,350,M,female,0,180.01,$359.00,2
102,0106,Hi-neck,Cashmere,blue gray,Hi-neck with finger slit,Moli,250,M,female,0,128.5,$282.99,1
102,0106,Hi-neck,Cashmere,beige,Hi-neck with finger slit,Moli,250,M,female,0,128.5,$282.99,2
102,0106,Hi-neck,Cashmere,beige,Hi-neck with finger slit,Moli,250,L,female,0,128.5,$282.99,1
102,0107,V-neck,Cashmere,blue,V-neck-simple,Moli,180,S,unisex,0,91.05,$229.00,1
102,0107,V-neck,Cashmere,blue,V-neck-simple,Moli,180,M,unisex,0,91.05,$229.00,1
102,0107,V-neck,Cashmere,blue,V-neck-simple,Moli,180,L,unisex,0,91.05,$229.00,1
102,0107,V-neck,Cashmere,navy,V-neck-simple,Moli,180,L,unisex,0,91.05,$229.00,1
102,0107,V-neck,Cashmere,Red,V-neck-simple,Moli,180,L,unisex,0,91.05,$229.00,1
102,0107,V-neck,Cashmere,Red,V-neck-simple,Moli,180,M,unisex,0,91.05,$229.00,1
102,0107,V-neck,Cashmere,Red,V-neck-simple,Moli,180,S,unisex,0,91.05,$229.00,1
102,0109,Hoodie,Cashmere,blue gray,Hoodie-7g,Moli,505,L,unisex,0,259.72,$399.00,2
102,0109,Hoodie,Cashmere,blue gray,Hoodie-7g,Moli,505,M,unisex,0,259.72,$399.00,1
102,0109,Hoodie,Cashmere,blue gray,Hoodie-7g,Moli,505,S,unisex,0,259.72,$399.00,1
102,0109,Hoodie,Cashmere,blue,Hoodie-7g,Moli,505,L,unisex,0,259.72,$399.00,2
102,0301,Coat,Cashmere,blue,Coat- side pocket,Moli,615,M,female,0,316.29,$639.00,1
102,0301,Coat,Cashmere,beige,Coat- side pocket,Moli,615,F,female,0,316.29,$639.00,2
102,0301,Coat,Cashmere,gray,Coat- side pocket,Moli,615,F,female,0,316.29,$639.00,2
102,0201,Pants,Cashmere,beige,Pants-front strip,Moli,255,M,female,0,131.16,$289.00,2
102,0201,Pants,Cashmere,blue,Pants-front strip,Moli,255,M,female,0,131.16,$289.00,1
102,0201,Pants,Cashmere,gray,Pants-sport style,Moli,415,L,male,0,213.4,$369.00,2
102,0201,Pants,Cashmere,bej-brown,"Pants- high waist, straight leg",Moli,395,M,female,0,203.15,$349.00,2
102,0201,Pants,Cashmere,bej-brown,"Pants- high waist, straight leg",Moli,395,L,female,0,203.15,$349.00,1
102,0201,Pants,Cashmere,beige,"Pants- high waist, straight leg",Moli,395,L,female,0,203.15,$349.00,1
102,0201,Pants,Cashmere,beige,"Pants- high waist, straight leg",Moli,395,M,female,0,203.15,$349.00,2
102,0201,Pants,Cashmere,gray,"Pants- belt, straight leg",Moli,380,M,female,0,203.77,$349.00,3
102,0201,Pants,Cashmere,gray,"Pants- belt, straight leg",Moli,380,S,female,0,203.77,$349.00,1
102,0201,Pants,Cashmere,beige,Pants -sport style -12g,Moli,250,M,female,0,128.58,$289.00,2
102,0201,Pants,Cashmere,beige,Pants -sport style -12g,Moli,250,L,female,0,128.58,$289.00,1
102,0201,Pants,Cashmere,beige,Pants -sport style -12g,Moli,250,S,female,0,128.58,$289.00,1
102,0201,Pants,Cashmere,bej-brown,Pants -sport style -12g,Moli,260,L,female,0,133.7,$289.00,1
102,0201,Pants,Cashmere,blue,"Pants- belt, straight leg",Moli,345,M,female,0,177.43,$349.00,1
102,0201,Pants,Cashmere,gray,Pants-sport style,Moli,415,M,male,0,213.43,$369.00,2
102,0201,Pants,Cashmere,gray,Pants-sport style,Moli,415,S,male,0,213.43,$369.00,1
102,0201,Pants,Cashmere,blue,Pants-sport style,Moli,415,L,male,0,213.43,$369.00,2
102,0403,Socks,Cashmere,beige,socks,Moli,70,F,unisex,0,32.11,$59.00,10
